agent,artifacts_created,artifacts_modified,completed_at,context_files_loaded,created_at,duration_minutes,handoff_count,next_agent,per_artifact_count,per_artifact_total_seconds,source_file,source_type,status,task_id,timestamp,token_input,token_output,token_total
manager,2,0,,,,,,,,,work/reports/logs/manager/2025-11-24T0452-iteration-3-executive-summary.md,work_log,,iteration-3-executive-summary,2025-11-24T0452,,,
manager,,,,,,,,,,,work/reports/logs/manager/2025-11-23T2106-orchestration-cycle-execution.md,work_log,,orchestration-cycle-execution,2025-11-23T2106,,,
manager,,,,,,,,,,,work/reports/logs/manager/2025-11-23T1845-inbox-review-coordination.md,work_log,,N/A,2025-11-23T1845,,,
synthesizer,,,,,,45,,,,,work/reports/logs/synthesizer/2025-11-27T1911-poc3-followup-synthesis-worklog.md,work_log,,2025-11-24T1756-synthesizer-followup-2025-11-23T2100-diagrammer-poc3-diagram-updates,2025-11-27T1911,,,
synthesizer,2,0,,,,65,,,,,work/reports/logs/synthesizer/2025-11-23T2257-worklog-analysis-synthesis.md,work_log,,2025-11-23T2200-synthesizer-worklog-analysis,2025-11-23T2257,,,
synthesizer,,,,,,15,,,,,work/reports/logs/synthesizer/2025-11-24T1830-token-metrics-aggregation.md,work_log,,2025-11-24T1735-synthesizer-token-metrics-aggregation,2025-11-24T1830,,,
synthesizer,1,0,,5,,3,1,writer-editor,,,work/reports/logs/synthesizer/2025-11-23T2220-poc3-orchestration-metrics-synthesis.md,work_log,,2025-11-23T2117-synthesizer-poc3-aggregate-metrics,2025-11-23T2220,27403,6858,34261
synthesizer,,,,,,,,,,,work/reports/logs/synthesizer/2025-11-23T1921-synthesizer-done-work-assessment.md,work_log,,2025-11-23T1843-synthesizer-done-work-assessment,2025-11-23T1921,,,
curator,,,,,,,,,,,work/reports/logs/curator/2025-11-24T0457-curator-changelog-update.md,work_log,,changelog-update-iteration-3,2025-11-24T0457,,,
curator,,,,,,,,,,,work/reports/logs/curator/2025-11-23T0811-curator-orchestration-guide.md,work_log,,2025-11-23T0722-curator-orchestration-guide,2025-11-23T0811,,,
curator,,,,,,,,,,,work/reports/logs/curator/2025-11-23T2246-directives-approaches-review-report.md,work_log,,2025-11-23T2159-curator-directives-approaches-review,2025-11-23T2246,,,
curator,,,,,,,,,,,work/reports/logs/curator/2025-11-23T2246-directives-approaches-review.md,work_log,,2025-11-23T2159-curator-directives-approaches-review,2025-11-23T2246,,,
curator,,,,,,,,,,,work/reports/logs/curator/2025-11-24T0522-poc3-final-validation-report.md,work_log,,2025-11-24T0520-curator-poc3-final-validation,2025-11-24T0522,,,
curator,,,,,,,,,,,work/reports/logs/curator/2025-11-27T1916-create-shared-glossary.md,work_log,,create-shared-glossary,2025-11-27T1916,,,
curator,,,,,,,,,,,work/reports/logs/curator/2025-11-24T1757-curator-locality-of-change-directive.md,work_log,,2025-11-24T1734-curator-locality-of-change-directive,2025-11-24T1757,,,
curator,2,1,,6,,,,,,,work/reports/logs/curator/2025-11-24T0522-poc3-final-validation-worklog.md,work_log,,2025-11-24T0520-curator-poc3-final-validation,2025-11-24T0522,,,
curator,,,,,,,,,,,work/reports/logs/curator/2025-11-26T0635-directive-019-refactoring.md,work_log,,2025-11-26T0614-curator-refactor-directive-019-minimal,2025-11-26T0635,,,
generic,,,,,,,,,,,work/reports/logs/generic/2025-11-23T1854-orchestration-framework-continuation.md,work_log,,meta-task,2025-11-23T1854,,,
generic,,,,,,35,,,,,work/reports/logs/generic/2025-11-24T0601-validation-fix-orchestrator-disable.md,work_log,,Validation,2025-11-24T0601,,,
writer-editor,,,,,,,,,,,work/reports/logs/writer-editor/2025-11-24T0821-writer-editor-orchestration-guide-polish.md,work_log,,2025-11-23T2207-writer-editor-followup-2025-11-23T0722-curator-orchestration-guide,2025-11-24T0821,,,
writer-editor,,,,,,,,,,,work/reports/logs/writer-editor/2025-11-24T1834-writer-editor-agentic-framework-persona.md,work_log,,2025-11-24T1740-writer-editor-agentic-framework-persona,2025-11-24T1834,,,
writer-editor,,,,,,,,,,,work/reports/logs/writer-editor/2025-11-23T0811-writer-editor-orchestration-guide-review.md,work_log,,2025-11-23T0811-writer-editor-orchestration-guide-review,2025-11-23T0811,,,
writer-editor,,,,,,,,,,,work/reports/logs/writer-editor/2025-11-27T1933-poc3-metrics-editorial-review.md,work_log,,2025-11-24T1756-writer-editor-followup-2025-11-23T2117-synthesizer-poc3-aggregate-metrics,2025-11-27T1933,,,
writer-editor,0,2,,3,,3,,,,,work/reports/logs/writer-editor/2025-11-24T0502-poc3-synthesis-clarity-refinement.md,work_log,,2025-11-24T0450-writer-editor-poc3-synthesis-clarity,2025-11-24T0502,,,
writer-editor,,,,,,48,,,,,work/reports/logs/writer-editor/2025-11-27T1911-orchestration-guide-review.md,work_log,,2025-11-24T1756-writer-editor-followup-2025-11-23T0722-curator-orchestration-guide,2025-11-27T1911,,,
prompts,,,,,,,,,,,work/reports/logs/prompts/2025-11-23T2011-copilot-fix-pr16-validation-prompt.md,work_log,,N/A,2025-11-23T2011,,,
prompts,,,,,,,,,,,work/reports/logs/prompts/2025-11-23T1921-synthesizer-done-work-assessment-prompt.md,work_log,,2025-11-23T1843-synthesizer-done-work-assessment,2025-11-23T1921,,,
prompts,,,,,,,,,,,work/reports/logs/prompts/2025-11-24T0740-devops-danny-github-issue-helpers-prompt.md,work_log,,github-issue-helpers,2025-11-24T0740,,,
build-automation,,,,,,,,,,,work/reports/logs/build-automation/2025-11-23T2204-run-iteration-issue-template.md,work_log,,2025-11-23T2204-build-automation-run-iteration-issue,2025-11-23T2204,,,
build-automation,,,,,,,,,,,work/reports/logs/build-automation/2025-11-23T1454-build-automation-init-structure.md,work_log,,2025-11-23T0720-build-automation-init-structure,2025-11-23T1454,,,
build-automation,,,,,,,,,,,work/reports/logs/build-automation/2025-11-27T0745-data-driven-issue-migration.md,work_log,,Planning,2025-11-27T0745,,,
build-automation,,,,,,,,,,,work/reports/logs/build-automation/2025-11-23T1930-build-automation-validation-workflow.md,work_log,,2025-11-23T1851-build-automation-ci-validation-workflow,2025-11-23T1930,,,
build-automation,,,,,,,,,,,work/reports/logs/build-automation/2025-11-23T2126-build-automation-agent-template.md,work_log,,2025-11-23T1742-build-automation-agent-template,2025-11-23T2126,,,
build-automation,,,,,,,,,,,work/reports/logs/build-automation/2025-11-23T1933-build-automation-diagram-workflow.md,work_log,,2025-11-23T1852-build-automation-ci-diagram-workflow,2025-11-23T1933,,,
build-automation,,,,,,,,,,,work/reports/logs/build-automation/2025-11-23T1512-build-automation-validation-scripts.md,work_log,,2025-11-23T0723-build-automation-validation-scripts,2025-11-23T1512,,,
build-automation,,,,,,,,,,,work/reports/logs/build-automation/2025-11-23T1510-build-automation-orchestrator-impl.md,work_log,,2025-11-23T0721-build-automation-orchestrator-impl,2025-11-23T1510,,,
build-automation,,,,,,,,,,,work/reports/logs/build-automation/2025-11-23T1936-build-automation-ci-integration-complete.md,work_log,,2025-11-23T1744-build-automation-ci-integration,2025-11-23T1936,,,
build-automation,,,,,,,,,,,work/reports/logs/build-automation/2025-11-23T1928-build-automation-orchestration-workflow.md,work_log,,2025-11-23T1850-build-automation-ci-orchestration-workflow,2025-11-23T1928,,,
build-automation,,,,,,,,,,,work/reports/logs/build-automation/2025-11-23T1740-e2e-test-harness.md,work_log,,2025-11-23T1740-build-automation-e2e-test-harness,2025-11-23T1740,,,
build-automation,,,,,,,,,,,work/reports/logs/build-automation/2025-11-23T2129-build-automation-copilot-tooling.md,work_log,,2025-11-23T2103-build-automation-copilot-tooling-workflow,2025-11-23T2129,,,
build-automation,,,,,,,,,,,work/reports/logs/build-automation/2025-11-24T1839-iteration-metrics-dashboard.md,work_log,,2025-11-24T1738-build-automation-iteration-metrics-dashboard,2025-11-24T1839,,,
build-automation,,,,,,,,,,,work/reports/logs/build-automation/2025-11-24T1802-build-automation-template-improvements.md,work_log,,2025-11-24T1737-build-automation-template-improvements,2025-11-24T1802,,,
architect,,,,,,,,,,,work/reports/logs/architect/2025-11-23-implementation-progress-review.md,work_log,,2025-11-23T2117-synthesizer-poc3-aggregate-metrics,,,,
architect,,,,,,,,,,,work/reports/logs/architect/2025-11-24-copilot-tooling-value-assessment.md,work_log,,2025-11-23T2104-architect-copilot-tooling-assessment,,,,
architect,,,,,,,,,,,work/reports/logs/architect/2025-11-23T0715-orchestration-update.md,work_log,,2025-11-23T0715-orchestration-update,2025-11-23T0715,,,
architect,,,,,,,,,,,work/reports/logs/architect/2025-11-24T0843-architect-copilot-setup-adr.md,work_log,,2025-11-23T2138-architect-copilot-setup-adr,2025-11-24T0843,,,
architect,,,,,,,,,,,work/reports/logs/architect/2025-11-24T1813-architect-agent-specific-iteration-templates-adr.md,work_log,,2025-11-24T1739-architect-agent-specific-workflows-adr,2025-11-24T1813,,,
architect,,,,,,,,,,,work/reports/logs/architect/2025-11-23T0927-orchestration-poc-review.md,work_log,,N/A,2025-11-23T0927,,,
architect,3,0,,,,145,,,,,work/reports/logs/architect/2025-11-23T2223-implementation-review.md,work_log,,2025-11-23T2158-architect-implementation-review,2025-11-23T2223,,,
architect,,,,,,,,,,,work/reports/logs/architect/2025-11-23T2058-poc3-execution-report.md,work_log,,2025-11-23T1738-architect-poc3-multi-agent-chain,2025-11-23T2058,,,
architect,1,0,,8,,,,,,,work/reports/logs/architect/2025-11-24T0516-synthesizer-assessment-review.md,work_log,,2025-11-23T1844-architect-synthesizer-assessment-review,2025-11-24T0516,,,
architect,,,,,,,,,,,work/reports/logs/architect/2025-11-24T1210-follow-up-lookup-assessment.md,work_log,,2025-11-23T1846-architect-follow-up-lookup-assessment,2025-11-24T1210,,,
architect,,,,,,,,,,,work/reports/logs/architect/2025-11-24T0829-architect-copilot-tooling-assessment.md,work_log,,2025-11-23T2104-architect-copilot-tooling-assessment,2025-11-24T0829,,,
diagrammer,,,,,,,,,,,work/reports/logs/diagrammer/2025-11-23T0724-orchestration-diagrams.md,work_log,,2025-11-23T0724-diagrammer-orchestration-diagrams,2025-11-23T0724,,,
diagrammer,,,,,,5,,,,,work/reports/logs/diagrammer/2025-11-23T2113-poc3-diagram-updates.md,work_log,,2025-11-23T2100-diagrammer-poc3-diagram-updates,2025-11-23T2113,,,
diagrammer,,,,,,,,,,,work/reports/logs/diagrammer/2025-11-23T1746-diagrammer-accessibility-metadata.md,work_log,,2025-11-23T1746-diagrammer-accessibility-metadata,2025-11-23T1746,,,
synthesizer,1,0,2025-11-23T22:20:40Z,5,2025-11-23T21:17:34Z,3,1,writer-editor,1,120,work/collaboration/done/synthesizer/2025-11-23T2117-synthesizer-poc3-aggregate-metrics.yaml,task_file,done,2025-11-23T2117-synthesizer-poc3-aggregate-metrics,,27403,6858,34261
synthesizer,,,2025-11-23T19:27:14Z,,2025-11-23T18:43:00Z,,,,,,work/collaboration/done/synthesizer/2025-11-23T1843-synthesizer-done-work-assessment.yaml,task_file,done,2025-11-23T1843-synthesizer-done-work-assessment,,,,
synthesizer,,,,,2025-11-24T17:35:00Z,,,,,,work/collaboration/done/synthesizer/2025-11-24T1735-synthesizer-token-metrics-aggregation.yaml,task_file,done,2025-11-24T1735-synthesizer-token-metrics-aggregation,,,,
synthesizer,2,0,,13,2025-11-24T17:56:16.915264Z,45,,,2,1200,work/collaboration/done/synthesizer/2025-11-24T1756-synthesizer-followup-2025-11-23T2100-diagrammer-poc3-diagram-updates.yaml,task_file,done,2025-11-24T1756-synthesizer-followup-2025-11-23T2100-diagrammer-poc3-diagram-updates,,85000,30000,115000
synthesizer,,,,67,2025-11-23T22:00:00Z,69,,,,,work/collaboration/done/synthesizer/2025-11-23T2200-synthesizer-worklog-analysis.yaml,task_file,done,2025-11-23T2200-synthesizer-worklog-analysis,,145000,18500,163500
curator,,,,,2025-11-24T17:34:00Z,,,,,,work/collaboration/done/curator/2025-11-24T1734-curator-locality-of-change-directive.yaml,task_file,done,2025-11-24T1734-curator-locality-of-change-directive,,,,
curator,,,2025-11-26T06:35:00Z,,2025-11-26T06:14:00Z,,,,,,work/collaboration/done/curator/2025-11-26T0614-curator-refactor-directive-019-minimal.yaml,task_file,done,2025-11-26T0614-curator-refactor-directive-019-minimal,,,,
curator,,,2025-11-24T20:25:00Z,,2025-11-24T19:45:00Z,,1,curator,,,work/collaboration/done/curator/2025-11-24T1945-curator-primer-alias-directive-alignment.yaml,task_file,done,2025-11-24T1945-curator-primer-alias-directive-alignment,,,,
curator,,,2025-11-23T07:30:00Z,,2025-11-23T07:22:00Z,,1,writer-editor,,,work/collaboration/done/curator/2025-11-23T0722-curator-orchestration-guide.yaml,task_file,done,2025-11-23T0722-curator-orchestration-guide,,,,
curator,,,2025-11-24T20:40:00Z,,2025-11-24T20:00:00Z,,1,architect,,,work/collaboration/done/curator/2025-11-24T2000-curator-primer-testing-directives-rollout.yaml,task_file,done,2025-11-24T2000-curator-primer-testing-directives-rollout,,,,
curator,,,,,2025-11-23T21:59:00Z,,,,,,work/collaboration/done/curator/2025-11-23T2159-curator-directives-approaches-review.yaml,task_file,done,2025-11-23T2159-curator-directives-approaches-review,,,,
curator,2,1,2025-11-24T05:44:00Z,6,2025-11-24T05:20:00Z,22,,,3,1320,work/collaboration/done/curator/2025-11-24T0520-curator-poc3-final-validation.yaml,task_file,done,2025-11-24T0520-curator-poc3-final-validation,,32000,8500,40500
writer-editor,,,,,2025-11-23T22:07:07.522953Z,,,,,,work/collaboration/done/writer-editor/2025-11-23T2207-writer-editor-followup-2025-11-23T0722-curator-orchestration-guide.yaml,task_file,done,2025-11-23T2207-writer-editor-followup-2025-11-23T0722-curator-orchestration-guide,,,,
writer-editor,1,1,2025-11-27T19:59:00Z,6,2025-11-24T17:56:16.942915Z,48,,,,,work/collaboration/done/writer-editor/2025-11-24T1756-writer-editor-followup-2025-11-23T0722-curator-orchestration-guide.yaml,task_file,done,2025-11-24T1756-writer-editor-followup-2025-11-23T0722-curator-orchestration-guide,,29000,6800,35800
writer-editor,1,2,2025-11-24T05:05:08Z,3,2025-11-24T04:50:00Z,3,,,2,180,work/collaboration/done/writer-editor/2025-11-24T0450-writer-editor-poc3-synthesis-clarity.yaml,task_file,done,2025-11-24T0450-writer-editor-poc3-synthesis-clarity,,22000,5000,27000
writer-editor,,,2025-11-24T18:36:40Z,,2025-11-24T17:40:00Z,,,,,,work/collaboration/done/writer-editor/2025-11-24T1740-writer-editor-agentic-framework-persona.yaml,task_file,done,2025-11-24T1740-writer-editor-agentic-framework-persona,,,,
writer-editor,,,2025-11-24T05:10:49Z,,2025-11-23T08:11:00Z,,,,,,work/collaboration/done/writer-editor/2025-11-23T0811-writer-editor-orchestration-guide-review.yaml,task_file,done,2025-11-23T0811-writer-editor-orchestration-guide-review,,,,
build-automation,,,2025-11-23T19:36:39Z,,2025-11-23T17:44:00Z,,,,,,work/collaboration/done/build-automation/2025-11-23T1744-build-automation-ci-integration.yaml,task_file,done,2025-11-23T1744-build-automation-ci-integration,,,,
build-automation,,,2025-11-23T17:50:00Z,,2025-11-23T17:40:00Z,,,,,,work/collaboration/done/build-automation/2025-11-23T1740-build-automation-e2e-test-harness.yaml,task_file,done,2025-11-23T1740-build-automation-e2e-test-harness,,,,
build-automation,,,2025-11-23T19:27:42Z,,2025-11-23T18:50:00Z,,,,,,work/collaboration/done/build-automation/2025-11-23T1850-build-automation-ci-orchestration-workflow.yaml,task_file,done,2025-11-23T1850-build-automation-ci-orchestration-workflow,,,,
build-automation,,,2025-11-23T19:30:41Z,,2025-11-23T18:51:00Z,,,,,,work/collaboration/done/build-automation/2025-11-23T1851-build-automation-ci-validation-workflow.yaml,task_file,done,2025-11-23T1851-build-automation-ci-validation-workflow,,,,
build-automation,,,,,2025-11-23T17:48:00Z,,,,,,work/collaboration/done/build-automation/2025-11-23T1748-build-automation-performance-benchmark.yaml,task_file,done,2025-11-23T1748-build-automation-performance-benchmark,,,,
build-automation,,,2025-11-23T15:10:22Z,,2025-11-23T07:21:00Z,,,,,,work/collaboration/done/build-automation/2025-11-23T0721-build-automation-orchestrator-impl.yaml,task_file,done,2025-11-23T0721-build-automation-orchestrator-impl,,,,
build-automation,,,2025-11-23T19:33:30Z,,2025-11-23T18:52:00Z,,,,,,work/collaboration/done/build-automation/2025-11-23T1852-build-automation-ci-diagram-workflow.yaml,task_file,done,2025-11-23T1852-build-automation-ci-diagram-workflow,,,,
build-automation,,,2025-11-24T18:09:23Z,,2025-11-24T17:37:00Z,,,,,,work/collaboration/done/build-automation/2025-11-24T1737-build-automation-template-improvements.yaml,task_file,done,2025-11-24T1737-build-automation-template-improvements,,,,
build-automation,,,,,2025-11-23T07:20:00Z,,,,,,work/collaboration/done/build-automation/2025-11-23T0720-build-automation-init-structure.yaml,task_file,done,2025-11-23T0720-build-automation-init-structure,,,,
build-automation,,,2025-11-23T21:26:27.549124Z,,2025-11-23T17:42:00Z,,,,,,work/collaboration/done/build-automation/2025-11-23T1742-build-automation-agent-template.yaml,task_file,done,2025-11-23T1742-build-automation-agent-template,,,,
build-automation,,,2025-11-23T21:29:40Z,,2025-11-23T21:03:00Z,,,,,,work/collaboration/done/build-automation/2025-11-23T2103-build-automation-copilot-tooling-workflow.yaml,task_file,done,2025-11-23T2103-build-automation-copilot-tooling-workflow,,,,
build-automation,,,2025-11-23T15:12:22Z,,2025-11-23T07:23:00Z,,,,,,work/collaboration/done/build-automation/2025-11-23T0723-build-automation-validation-scripts.yaml,task_file,done,2025-11-23T0723-build-automation-validation-scripts,,,,
build-automation,,,2025-11-24T18:44:46Z,,2025-11-24T17:38:00Z,,,,,,work/collaboration/done/build-automation/2025-11-24T1738-build-automation-iteration-metrics-dashboard.yaml,task_file,done,2025-11-24T1738-build-automation-iteration-metrics-dashboard,,,,
architect,3,1,2025-11-23T21:00:54Z,8,2025-11-23T17:38:00Z,3,1,diagrammer,3,165,work/collaboration/done/architect/2025-11-23T1738-architect-poc3-multi-agent-chain.yaml,task_file,done,2025-11-23T1738-architect-poc3-multi-agent-chain,,34500,13800,48300
architect,,,,,2025-11-23T21:38:00Z,,,,,,work/collaboration/done/architect/2025-11-23T2138-architect-copilot-setup-adr.yaml,task_file,done,2025-11-23T2138-architect-copilot-setup-adr,,,,
architect,3,0,2025-11-23T22:59:00Z,23,2025-11-23T21:58:00Z,145,,,3,4200,work/collaboration/done/architect/2025-11-23T2158-architect-implementation-review.yaml,task_file,done,2025-11-23T2158-architect-implementation-review,,64827,20000,84827
architect,,,2025-11-24T18:26:00Z,,2025-11-24T17:39:00Z,,,,,,work/collaboration/done/architect/2025-11-24T1739-architect-agent-specific-workflows-adr.yaml,task_file,done,2025-11-24T1739-architect-agent-specific-workflows-adr,,,,
architect,,,2025-11-24T08:29:49Z,,2025-11-23T21:04:00Z,250,,,,,work/collaboration/done/architect/2025-11-23T2104-architect-copilot-tooling-assessment.yaml,task_file,done,2025-11-23T2104-architect-copilot-tooling-assessment,,50000,56000,106000
architect,1,0,2025-11-24T05:19:41Z,8,2025-11-23T18:44:00Z,45,,,,,work/collaboration/done/architect/2025-11-23T1844-architect-synthesizer-assessment-review.yaml,task_file,done,2025-11-23T1844-architect-synthesizer-assessment-review,,80000,7000,87000
diagrammer,2,1,2025-11-23T21:18:01Z,6,2025-11-23T21:00:28Z,5,1,synthesizer,3,270,work/collaboration/done/diagrammer/2025-11-23T2100-diagrammer-poc3-diagram-updates.yaml,task_file,done,2025-11-23T2100-diagrammer-poc3-diagram-updates,,28500,6200,34700
diagrammer,1,1,,7,2025-11-24T17:56:16.926148Z,45,,,,,work/collaboration/done/diagrammer/2025-11-24T1756-diagrammer-followup-2025-11-23T1738-architect-poc3-multi-agent-chain.yaml,task_file,done,2025-11-24T1756-diagrammer-followup-2025-11-23T1738-architect-poc3-multi-agent-chain,,60000,15000,75000
diagrammer,,,2025-11-23T19:00:00Z,,2025-11-23T17:46:00Z,,,,,,work/collaboration/done/diagrammer/2025-11-23T1746-diagrammer-accessibility-metadata.yaml,task_file,done,2025-11-23T1746-diagrammer-accessibility-metadata,,,,
diagrammer,,,2025-11-23T12:04:00Z,,2025-11-23T07:24:00Z,,,,,,work/collaboration/done/diagrammer/2025-11-23T0724-diagrammer-orchestration-diagrams.yaml,task_file,done,2025-11-23T0724-diagrammer-orchestration-diagrams,,,,
